Semana da Tecnologia,Evento de tecnologia e inovação,2025-11-10 09:00,2025-11-14 18:00,Auditório Principal
Workshop Django,Aprenda a criar APIs,2025-11-12 14:00,2025-11-12 18:00,Lab de Informática 3
Hackathon IFB,Maratona de programação,2025-12-01 08:00,2025-12-02 20:00,Ginásio
Inteligência Artificial na Prática,Palestra sobre o futuro da IA,2025-11-15 19:00,2025-11-15 22:00,Auditório Principal
Oficina de Robótica com Arduino,Introdução a hardware livre,2025-11-18 14:00,2025-11-18 17:00,Lab de Hardware
Seminário de Cibersegurança,Proteção de dados e LGPD,2025-11-20 08:00,2025-11-20 12:00,Sala de Conferências
Curso de Git e GitHub,Versionamento de código para iniciantes,2025-11-22 09:00,2025-11-22 13:00,Lab de Informática 1
Feira de Estágios 2025,Conexão com empresas parceiras,2025-11-25 10:00,2025-11-25 16:00,Pátio Central
Workshop de UX/UI Design,Prototipagem de interfaces,2025-11-28 14:00,2025-11-28 18:00,Lab de Design
Maratona de Games,Desenvolvimento de jogos em 48h,2025-12-05 18:00,2025-12-07 18:00,Espaço Maker
Palestra: Mulheres na TI,Desafios e carreira,2025-12-10 19:00,2025-12-10 21:00,Auditório Azul
Curso de Excel Avançado,Fórmulas e Dashboards,2025-12-12 08:00,2025-12-12 12:00,Lab de Informática 2
Encontro de Egressos,Networking com ex-alunos,2025-12-15 19:00,2025-12-15 22:00,Salão de Festas
Introdução ao Linux,Comandos básicos e terminal,2026-01-10 14:00,2026-01-10 18:00,Lab de Redes
Bootcamp Fullstack,Intensivo de desenvolvimento web,2026-01-15 08:00,2026-01-20 18:00,Auditório Principal
Workshop Metodologias Ágeis,Scrum e Kanban na prática,2026-02-05 09:00,2026-02-05 13:00,Sala 304
Palestra: Computação em Nuvem,Introdução a AWS e Azure,2026-02-10 19:00,2026-02-10 21:00,Auditório Principal
Oficina de Pitch,Como vender sua ideia,2026-02-15 14:00,2026-02-15 17:00,Sala de Inovação
Torneio de E-Sports,Campeonato de LoL e Valorant,2026-02-20 10:00,2026-02-21 20:00,Ginásio
Curso de Python para Dados,Análise de dados com Pandas,2026-03-01 08:00,2026-03-05 12:00,Lab de Informática 4
Semana do Empreendedorismo,Palestras e workshops de negócios,2026-03-10 09:00,2026-03-14 18:00,Auditório Verde
Workshop de React Native,Criando apps mobile,2026-03-20 14:00,2026-03-20 18:00,Lab de Informática 3
Fórum de Sustentabilidade,Tecnologia verde e impacto social,2026-03-25 09:00,2026-03-25 17:00,Anfiteatro
